12
0	4299	0.009
4300	8499	0.024
8500	12699	0.034
12700	21199	0.044
21200	35099	0.05
35100	75000	0.06
75001	76000	0.069
76001	77000	0.069
77001	78000	0.069
78001	79000	0.069
79001	80000	0.069
80001		0.069

12
0	4299	0.009
4300	8499	0.024
8500	12699	0.034
12700	21199	0.044
21200	35099	0.05
35100	75000	0.06
75001	76000	0.069
76001	77000	0.069
77001	78000	0.069
78001	79000	0.069
79001	80000	0.069
80001		0.069

12
0	4299	0.009
4300	8499	0.024
8500	12699	0.034
12700	21199	0.044
21200	35099	0.05
35100	75000	0.06
75001	76000	0.069
76001	77000	0.069
77001	78000	0.069
78001	79000	0.069
79001	80000	0.069
80001		0.069

12
0	4299	0.009
4300	8499	0.024
8500	12699	0.034
12700	21199	0.044
21200	35099	0.05
35100	75000	0.06
75001	76000	0.069
76001	77000	0.069
77001	78000	0.069
78001	79000	0.069
79001	80000	0.069
80001		0.069
