10
0	8015	0.01
8016	19000	0.02
19001	29988	0.04
29989	41628	0.06
41629	52611	0.08
52612	268749	0.093
268750	322498	0.103
322499	537497	0.113
537498	999999	0.123
1000000		0.133

10
0	16029	0.01
16030	38001	0.02
38002	59977	0.04
59978	83257	0.06
83258	105223	0.08
105224	537499	0.093
537500	644997	0.103
644998	999999	0.113
1000000	1074995	0.123
1074996		0.133

10
0	8015	0.01
8016	19000	0.02
19001	29988	0.04
29989	41628	0.06
41629	52611	0.08
52612	268749	0.093
268750	322498	0.103
322499	537497	0.113
537498	999999	0.123
1000000		0.133

10
0	16040	0.01
16041	38003	0.02
38004	48990	0.04
48991	60630	0.06
60631	71615	0.08
71616	365499	0.093
365500	438599	0.103
438600	730997	0.113
730998	999999	0.123
1000000		0.133
