9
0	2400	0.014
2400	4800	0.032
4800	9600	0.055
9600	14400	0.064
14400	19200	0.068
19200	24000	0.072
24000	36000	0.076
36000	48000	0.079
48000		0.0825

9
0	4800	0.014
4800	9600	0.032
9600	19200	0.055
19200	28800	0.064
28800	38400	0.068
38400	48000	0.072
48000	72000	0.076
72000	96000	0.079
96000		0.0825

9
0	2400	0.014
2400	4800	0.032
4800	9600	0.055
9600	14400	0.064
14400	19200	0.068
19200	24000	0.072
24000	36000	0.076
36000	48000	0.079
48000		0.0825

9
0	3600	0.014
3600	7200	0.032
7200	14400	0.055
14400	21600	0.064
21600	28800	0.068
28800	36000	0.072
36000	54000	0.076
54000	72000	0.079
72000		0.0825
