9
0	1573	0.0036
1574	3146	0.007
3147	6292	0.0243
6293	14157	0.045
14158	23595	0.0612
23596	31460	0.0648
31461	47190	0.068
47191	70785	0.0792
70786		0.0898

9
0	1573	0.0036
1574	3146	0.007
3147	6292	0.0243
6293	14157	0.045
14158	23595	0.0612
23596	31460	0.0648
31461	47190	0.068
47191	70785	0.0792
70786		0.0898

9
0	1573	0.0036
1574	3146	0.007
3147	6292	0.0243
6293	14157	0.045
14158	23595	0.0612
23596	31460	0.0648
31461	47190	0.068
47191	70785	0.0792
70786		0.0898

9
0	1573	0.0036
1574	3146	0.007
3147	6292	0.0243
6293	14157	0.045
14158	23595	0.0612
23596	31460	0.0648
31461	47190	0.068
47191	70785	0.0792
70786		0.0898
