8
0	1000	0.02
1001	2000	0.03
2001	3000	0.04
3001	100000	0.0475
100001	125000	0.05
125001	150000	0.0525
150001	250000	0.055
250001		0.0575

8
0	1000	0.02
1001	2000	0.03
2001	3000	0.04
3001	150000	0.0475
150001	175000	0.05
175001	225000	0.0525
225001	300000	0.055
300001		0.0575

8
0	1000	0.02
1001	2000	0.03
2001	3000	0.04
3001	100000	0.0475
100001	125000	0.05
125001	150000	0.0525
150001	250000	0.055
250001		0.0575

8
0	1000	0.02
1001	2000	0.03
2001	3000	0.04
3001	150000	0.0475
150001	175000	0.05
175001	225000	0.0525
225001	300000	0.055
300001		0.0575
