11
0	99	0
100	1000	0.015
1001	2000	0.02
2001	3000	0.025
3001	4000	0.03
4001	5000	0.035
5001	6000	0.04
6001	7000	0.045
7001	8000	0.05
8001	9000	0.055
9001		0.06

11
0	99	0
100	1000	0.015
1001	2000	0.02
2001	3000	0.025
3001	4000	0.03
4001	5000	0.035
5001	6000	0.04
6001	7000	0.045
7001	8000	0.05
8001	9000	0.055
9001		0.06

11
0	99	0
100	1000	0.015
1001	2000	0.02
2001	3000	0.025
3001	4000	0.03
4001	5000	0.035
5001	6000	0.04
6001	7000	0.045
7001	8000	0.05
8001	9000	0.055
9001		0.06

11
0	99	0
100	1000	0.015
1001	2000	0.02
2001	3000	0.025
3001	4000	0.03
4001	5000	0.035
5001	6000	0.04
6001	7000	0.045
7001	8000	0.05
8001	9000	0.055
9001		0.06
