8
0	8450	0.04
8451	11650	0.045
11651	13850	0.0525
13851	21300	0.059
21301	80150	0.0645
80151	214000	0.0665
214001	1070350	0.0685
1070351		0.0882

8
0	17050	0.04
17051	23450	0.045
23451	27750	0.0525
27751	42750	0.059
42751	160500	0.0645
160501	321050	0.0665
321051	2140900	0.0685
2140901		0.0882

8
0	8450	0.04
8451	11650	0.045
11651	13850	0.0525
13851	21300	0.059
21301	80150	0.0645
80151	214000	0.0665
214001	1070350	0.0685
1070351		0.0882

8
0	12750	0.04
12751	17550	0.045
17551	20800	0.0525
20801	32000	0.059
32001	106950	0.0645
106951	267500	0.0665
267501	1605650	0.0685
1605651		0.0882
