9
0	5250	0.00495
5251	10500	0.0099
10500	15800	0.0198
15800	21100	0.02476
21100	42100	0.02969
42100	84200	0.03465
84200	105300	0.0396
105300	210600	0.04597
210600		0.04997

9
0	5250	0.00495
5251	10500	0.0099
10500	15800	0.0198
15800	21100	0.02476
21100	42100	0.02969
42100	84200	0.03465
84200	105300	0.0396
105300	210600	0.04597
210600		0.04997

9
0	5250	0.00495
5251	10500	0.0099
10500	15800	0.0198
15800	21100	0.02476
21100	42100	0.02969
42100	84200	0.03465
84200	105300	0.0396
105300	210600	0.04597
210600		0.04997

9
0	5250	0.00495
5251	10500	0.0099
10500	15800	0.0198
15800	21100	0.02476
21100	42100	0.02969
42100	84200	0.03465
84200	105300	0.0396
105300	210600	0.04597
210600		0.04997
